timestamp,bid1,ask1,bid_vol1,ask_vol1,mid_price,target
0,100.24835707650561,101.199677718293,18,13,100.72401739739931,1
1,100.17922492592002,101.66199455974939,19,14,100.9206097428347,1
2,100.50306919497037,101.69180974470947,10,9,101.09743946983991,1
3,101.26458412317439,101.36834135585669,15,19,101.31646273951554,1
4,101.14750743581271,101.71745301266348,7,15,101.4324802242381,1
5,101.03043895733812,101.91419570537435,12,10,101.47231733135624,1
6,101.82004536509181,102.36179231538821,7,7,102.09091884024002,1
7,102.20376272966827,102.67937821622921,18,9,102.44157047294874,1
8,101.9690255367008,103.20415457388887,16,15,102.58659005529483,1
9,102.24030555849379,102.93653696810858,17,12,102.58842126330119,1
10,102.00859671208755,103.59523400092576,17,10,102.80191535650665,0
11,101.77573183530242,103.69403380327195,6,8,102.73488281928718,1
12,101.89671297108544,104.73166423958459,17,6,103.314188605335,0
13,100.94007284875654,104.3870703305398,17,18,102.66357158964817,1
14,100.07761393250003,105.25505223212242,7,13,102.66633308231123,0
15,99.79647016787953,105.35400762385375,15,17,102.57523889586665,0
16,99.29005460771232,105.02829862204652,10,16,102.15917661487941,0
17,99.44717827400996,104.78635570501936,6,5,102.11676698951466,0
18,98.99316623624935,104.62618205092221,12,5,101.80967414358578,0
19,98.28701438558171,104.83826502412316,5,17,101.56263970485244,1
20,99.01983877004248,105.09968276814091,11,8,102.0597607690917,0
21,98.90695061979922,104.81283276617162,6,11,101.85989169298543,1
22,98.94071472214318,104.80065547004114,14,5,101.87068509609216,1
23,98.22834062903645,105.87179064934706,16,13,102.05006563919176,1
24,97.95614926677386,106.73556223439742,10,8,102.34585575058564,1
25,98.0116105616288,106.95372406923444,16,7,102.48266731543163,0
26,97.43611377291765,106.97272580831853,6,5,102.20441979061809,1
27,97.62396278209047,107.03274147167767,6,14,102.32835212688407,1
28,97.32364343713108,107.33950045804288,14,8,102.33157194758698,0
29,97.17779656223443,106.82810417544367,17,13,102.00295036883905,0
30,96.87694325611974,106.699415906732,12,17,101.78817958142588,1
31,97.8030823483742,105.86512386979321,19,18,101.83410310908371,1
32,97.79633373600524,106.06473543109584,19,14,101.93053458355054,0
33,97.2674782715273,106.38833340094722,16,10,101.82790583623725,1
34,97.67875072757889,106.14674016979752,6,10,101.91274544868821,1
35,97.06832890259338,106.93373355144254,11,5,102.00103122701796,0
36,97.17276070009575,106.32085071994138,7,14,101.74680571001856,0
37,96.19292563815587,105.58866327983647,12,6,100.89079445899617,0
38,95.52883261370665,105.70088918911645,11,15,100.61486090141156,1
39,95.62726323164121,106.22443834042252,18,10,100.92585078603187,1
40,95.99649652163892,107.06640218615146,12,6,101.5314493538952,0
41,96.08218066223391,106.836960054717,18,7,101.45957035847545,1
42,96.02435652103978,107.37630047143264,11,8,101.70032849623621,0
43,95.87380467324513,107.35704623668228,15,15,101.61542545496371,0
44,95.13454367806142,107.27073258671187,10,9,101.20263813238665,1
45,94.77462157386407,107.71256255545521,17,19,101.24359206465964,1
46,94.54430218838418,108.03872399466192,11,13,101.29151309152306,0
47,95.07286330149364,107.2505279161698,9,16,101.16169560883172,1
48,95.24467244627786,107.98879809103275,11,19,101.6167352686553,0
49,94.3631523685965,108.67884376810647,5,19,101.52099806835149,0
50,94.5251943532939,108.3660624173517,5,8,101.4456283853228,1
51,94.33265321308573,108.56396418407041,13,17,101.44830869857807,0
52,93.99419221293276,108.81097927721177,18,15,101.40258574507226,1
53,94.3000303573532,108.94131616012373,9,13,101.62067325873846,1
54,94.81553011860117,108.66616358320103,17,15,101.74084685090111,1
55,95.28117017815927,108.330351899232,9,14,101.80576103869564,0
56,94.86156141654794,108.31757486373627,7,7,101.5895681401421,1
57,94.70695522862233,108.90393937336596,9,12,101.80544730099415,1
